Watchlist 'Calendar2'

Calendar2
Symbol,Last,Net Chng,Bid,Ask
NIO,38.6301,+3.1301,38.63,38.64
AAPL,115.1199,+4.6799,115.11,115.12
UBER,41.00,+5.23,40.99,41.00
BAC,23.968,-.722,23.96,23.97
LYFT,29.5125,+3.2825,29.50,29.51
AMD,80.755,+4.175,80.75,80.76
VXX,22.57,-1.94,22.57,22.58
WFC,22.30,+.21,22.30,22.31
T,27.315,-.145,27.31,27.32
TWTR,41.99,+.26,42.00,42.01
MSFT,217.33,+10.90,217.31,217.33
TSLA,425.58,+1.68,425.57,425.80
FB,286.43,+21.13,286.37,286.44
DKNG,39.26,+1.79,39.23,39.26
XOM,33.93,+.52,33.93,33.94
PFE,37.97,+1.78,37.96,37.97
BABA,297.45,+11.88,297.42,297.48
JD,88.96,+6.27,88.95,88.97
ABBV,96.35,+8.39,96.33,96.36
C,42.78,-.75,42.77,42.78
INTC,45.97,+1.12,45.97,45.98
CSCO,36.94,+.26,36.93,36.94
BMY,66.1607,+4.9207,66.16,66.17
PINS,61.77,+2.19,61.77,61.79
SNAP,42.2801,+1.1101,42.28,42.29
JPM,101.33,-2.08,101.32,101.34
BIIB,347.57,+100.56,347.64,348.99
CMCSA,44.255,+1.635,44.25,44.26
VZ,57.6167,-.1333,57.61,57.62
UAL,34.17,+.15,34.16,34.17
MS,51.845,+.665,51.84,51.85
GOLD,27.505,-.275,27.50,27.51
PYPL,190.36,+10.55,190.29,190.41
PDD,107.51,+9.79,107.47,107.55
MRK,82.562,+5.642,82.55,82.57
FOXA,25.035,-2.005,25.03,25.04
EBAY,48.3661,-.5539,48.35,48.36
LLY,149.91,+18.93,149.84,149.98
SCHW,41.19,-1.37,41.19,41.20
MU,51.74,+.66,51.73,51.74
GM,35.505,+.155,35.50,35.51
GSK,36.71,+1.45,36.70,36.71
DAL,31.15,+.25,31.14,31.15
BA,154.34,+.69,154.31,154.37
CVS,61.235,+1.785,61.23,61.24
FSLY,70.47,+1.54,70.43,70.50
BSX,35.695,+.545,35.69,35.70
FSLR,81.115,-6.125,81.08,81.15
